coin,target,toplam_veri,train_sayisi,test_sayisi,mae,mse,r2,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,r2_gap
HNT,close,2121,1484,637,0.1566310111424917,0.07337997366411522,0.9799733426909836,0.4371792256881445,0.7899605869140902,0.9922248687963048,0.1566310111424917,0.07337997366411522,0.9799733426909836,0.012251526105321209
LEO,close,2411,1687,724,0.1047122359998652,0.05281618199130721,0.9827061654133007,0.05443937109541846,0.011952218102009565,0.9948444788689188,0.1047122359998652,0.05281618199130721,0.9827061654133007,0.01213831345561811
RVN,close,2839,1987,852,0.0006915854135344459,1.493317472857719e-06,0.9734230499770691,0.002267398903325658,2.5108177678904844e-05,0.9850701005145264,0.0006915854135344459,1.493317472857719e-06,0.9734230499770691,0.011647050537457293
HBAR,close,2318,1622,696,0.005563947184923447,9.401135057961297e-05,0.9792708769048656,0.004966949883597368,0.00010173476251944178,0.9908359791281587,0.005563947184923447,9.401135057961297e-05,0.9792708769048656,0.0115651022232931
AXS,close,1907,1334,573,0.1468614954534912,0.05358379903795814,0.9826525706481543,1.0516483039229834,6.670169644459153,0.994047275299671,0.1468614954534912,0.05358379903795814,0.9826525706481543,0.011394704651516707
JST,close,1351,945,406,0.0007029305630433624,1.2185933923098805e-06,0.9447619760774795,0.0006933520442151282,1.3880744272788513e-06,0.9558696952560248,0.0007029305630433624,1.2185933923098805e-06,0.9447619760774795,0.011107719178545361
LPT,close,2578,1804,774,0.47792357297497784,0.7997505745157464,0.9728008374060877,0.5909951475723713,2.0170381603107104,0.9834932679964107,0.47792357297497784,0.7997505745157464,0.9728008374060877,0.010692430590322988
TEL,close,2922,2045,877,0.00019777414946100974,1.1085171156568065e-07,0.9700559382612012,0.00031418825497838093,1.0488238189782631e-06,0.9796730623528587,0.00019777414946100974,1.1085171156568065e-07,0.9700559382612012,0.009617124091657492
AAVE,close,1932,1352,580,7.598742182029117,112.56462912882226,0.9759614351238786,7.422895969907225,204.43442740857947,0.985540821579947,7.598742182029117,112.56462912882226,0.9759614351238786,0.009579386456068484
ETH,close,3823,2676,1147,61.771604790646876,9060.530498317661,0.987131366604663,28.871013786020576,4102.655969872292,0.996676437400507,61.771604790646876,9060.530498317661,0.987131366604663,0.00954507079584399
XEC,close,1577,1103,474,7.274690284401545e-07,1.5367065373844605e-12,0.9841010587858278,1.7906789134165838e-06,1.1497213240613042e-11,0.9930778328064399,7.274690284401545e-07,1.5367065373844605e-12,0.9841010587858278,0.008976774020612144
FET,close,1351,945,406,0.02143623278623333,0.0009539198989776575,0.9819602489545618,0.03556517882617448,0.005143929431760846,0.9907293579354467,0.02143623278623333,0.0009539198989776575,0.9819602489545618,0.008769108980884899
FIL,close,2893,2025,868,0.17165701038605496,0.07455625828356503,0.9817604354740752,0.9788118069288003,8.074372452498366,0.9905190956259707,0.17165701038605496,0.07455625828356503,0.9817604354740752,0.008758660151895525
EGLD,close,1969,1378,591,0.814999763028408,1.748392035511194,0.9824100671274798,3.878480703340471,55.673433694361364,0.9909242974300128,0.814999763028408,1.748392035511194,0.9824100671274798,0.008514230302532955
BTT,close,1467,1026,441,1.774821323245674e-08,1.3185472733985153e-15,0.9774888504308612,2.7831403178523118e-08,3.2968375743438825e-15,0.9854885079664472,1.774821323245674e-08,1.3185472733985153e-15,0.9774888504308612,0.007999657535585958
KCS,close,2964,2074,890,0.2011062855308222,0.1035794981688704,0.9849096472567078,0.23790210485249638,0.2708278671608349,0.992868324365545,0.2011062855308222,0.1035794981688704,0.9849096472567078,0.007958677108837131
OKB,close,2809,1966,843,1.8924872517280178,20.899291648106402,0.9880072014769866,0.4577753022036183,0.9061217956523381,0.9954548909868803,1.8924872517280178,20.899291648106402,0.9880072014769866,0.007447689509893718
